Index,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
2441,3,95,No,7,1,74
2442,9,68,No,6,0,63
2443,2,84,No,6,4,60
2444,9,47,Yes,9,6,47
2445,5,61,No,6,7,47
2446,8,92,No,6,7,87
2447,2,68,Yes,8,9,45
2448,6,41,No,8,8,31
2449,3,80,Yes,7,0,61
2450,5,88,No,5,6,73
2451,8,98,No,4,9,92
2452,1,89,No,4,7,65
2453,5,84,No,8,5,69
2454,3,40,Yes,9,9,20
2455,4,83,Yes,6,3,66
2456,2,59,Yes,7,6,38
2457,9,91,No,5,2,81
2458,3,60,No,8,1,39
2459,2,76,No,9,5,53
2460,9,47,Yes,7,1,44
2461,7,66,No,9,5,58
2462,6,86,Yes,7,9,79
2463,1,98,Yes,8,2,75
2464,5,74,Yes,7,1,59
2465,3,45,No,6,7,23
2466,1,99,No,7,3,74
2467,4,84,No,5,3,65
2468,2,83,No,7,6,60
2469,2,58,Yes,4,7,32
2470,3,57,Yes,7,8,38
2471,8,95,No,9,9,91
2472,8,40,No,8,7,34
2473,7,64,No,4,3,46
2474,6,66,Yes,8,1,55
2475,9,46,No,9,9,43
2476,4,83,Yes,5,4,67
2477,1,81,Yes,6,6,56
2478,8,68,Yes,5,1,58
2479,7,70,Yes,4,3,60
2480,7,83,Yes,9,5,77
2481,3,82,Yes,9,7,69
2482,4,75,Yes,6,9,60
2483,9,58,No,7,5,52
2484,6,45,No,4,5,36
2485,5,64,No,6,5,49
2486,3,70,Yes,8,3,50
2487,9,48,Yes,6,2,48
2488,5,59,No,8,0,43
2489,5,49,Yes,8,1,34
2490,4,76,Yes,9,1,57
2491,4,66,Yes,6,9,50
2492,1,52,Yes,9,6,28
2493,7,80,Yes,9,5,72
2494,9,41,Yes,5,7,38
2495,3,89,Yes,5,8,68
2496,2,60,Yes,9,4,41
2497,3,72,Yes,9,2,53
2498,1,63,Yes,8,3,36
2499,6,92,Yes,9,7,80
2500,7,83,Yes,4,2,73
2501,2,81,No,6,1,59
2502,8,73,Yes,4,6,67
2503,6,99,Yes,5,3,91
2504,4,48,No,4,7,34
2505,5,41,No,7,0,23
2506,8,94,No,7,7,86
2507,3,95,Yes,5,4,73
2508,3,69,Yes,4,1,49
2509,4,61,No,6,0,43
2510,1,85,No,5,5,61
2511,9,50,No,7,8,45
2512,8,94,Yes,5,8,85
2513,8,82,Yes,4,8,75
2514,6,56,No,4,3,44
2515,7,75,Yes,4,5,66
2516,6,52,Yes,8,9,45
2517,9,46,No,4,5,40
2518,3,55,No,9,4,38
2519,3,72,No,7,1,50
2520,3,84,Yes,7,6,67
2521,3,40,Yes,8,0,21
2522,9,50,Yes,7,5,51
2523,4,45,Yes,7,4,25
2524,7,59,Yes,5,4,53
2525,9,74,No,4,7,71
2526,7,83,Yes,9,8,77
2527,9,76,Yes,9,6,75
2528,3,80,No,5,9,60
2529,4,65,No,9,7,49
2530,8,97,No,5,1,87
2531,6,51,No,9,1,40
2532,5,69,Yes,7,7,56
2533,4,67,Yes,6,5,49
2534,8,66,No,4,7,59
2535,1,81,Yes,6,8,59
2536,9,58,No,7,8,54
2537,1,44,Yes,8,5,17
2538,8,97,Yes,5,7,90
2539,4,44,Yes,9,1,23
2540,9,80,No,9,7,82
2541,5,66,No,7,2,49
2542,3,67,Yes,9,0,50
2543,9,65,Yes,7,6,60
2544,9,66,No,6,0,60
2545,4,91,No,8,0,74
2546,4,88,Yes,5,0,71
2547,8,81,Yes,9,3,77
2548,2,60,No,8,3,34
2549,9,40,Yes,8,9,39
2550,6,93,No,8,5,85
2551,9,67,No,4,9,64
2552,8,87,Yes,8,2,87
2553,7,97,Yes,7,9,91
2554,1,97,Yes,4,5,73
2555,3,54,No,4,6,34
2556,2,94,No,8,0,70
2557,5,56,No,9,5,42
2558,5,65,Yes,9,9,55
2559,5,59,Yes,9,0,45
2560,4,64,No,9,6,49
2561,5,52,No,7,9,37
2562,3,72,Yes,9,4,55
2563,1,64,No,5,9,38
2564,5,47,Yes,8,3,35
2565,9,44,Yes,4,0,41
2566,9,45,No,5,8,43
2567,4,62,No,9,6,46
2568,3,91,No,5,1,69
2569,1,69,No,4,3,37
2570,2,53,No,9,3,31
2571,8,93,Yes,5,7,90
2572,1,62,No,7,1,33
2573,8,50,Yes,7,4,44
2574,7,70,No,8,9,62
2575,8,45,No,8,7,41
2576,6,50,No,5,5,38
2577,9,52,No,4,3,45
2578,3,51,No,7,4,34
2579,4,93,No,6,1,72
2580,6,41,Yes,8,4,29
2581,8,92,No,7,2,83
2582,5,74,No,9,2,61
2583,3,94,No,5,6,75
2584,6,75,No,7,2,63
2585,4,56,Yes,7,3,36
2586,9,67,Yes,5,6,62
2587,3,67,Yes,8,2,49
2588,4,61,Yes,8,9,46
2589,7,77,Yes,6,9,69
2590,7,46,Yes,6,1,35
2591,4,54,No,8,9,38
2592,6,71,No,8,6,62
2593,3,50,Yes,8,4,30
2594,6,63,No,8,0,52
2595,2,42,No,7,9,16
2596,8,69,No,6,7,66
2597,2,45,No,5,2,20
2598,7,97,No,4,6,86
2599,9,41,Yes,5,5,38
2600,1,53,Yes,9,9,30
2601,8,80,Yes,4,5,71
2602,7,57,Yes,7,7,49
2603,6,90,Yes,9,3,79
2604,6,83,Yes,6,3,69
2605,6,70,No,4,2,56
2606,9,52,Yes,8,0,47
2607,2,65,No,9,9,41
2608,1,83,No,7,2,58
2609,6,51,Yes,4,0,38
2610,8,57,Yes,8,5,52
2611,3,48,Yes,9,7,25
2612,1,88,No,7,2,62
2613,9,60,Yes,9,3,60
2614,1,87,Yes,4,4,63
2615,3,88,Yes,8,6,72
2616,8,92,No,6,5,84
2617,3,95,Yes,7,1,74
2618,4,79,Yes,4,6,61
2619,8,82,No,8,7,77
2620,1,63,No,6,0,36
2621,6,73,No,9,5,65
2622,1,47,Yes,8,8,23
2623,1,83,Yes,6,6,60
2624,8,92,No,4,4,83
2625,4,72,Yes,8,9,56
2626,1,62,No,8,9,37
2627,7,52,No,5,8,43
2628,5,93,No,7,1,76
2629,5,92,No,8,6,83
2630,1,88,No,6,8,63
2631,6,53,Yes,7,1,39
2632,9,53,Yes,4,9,48
2633,9,55,Yes,7,5,53
2634,8,88,Yes,5,8,84
2635,5,77,No,4,2,63
2636,1,97,Yes,8,7,73
2637,9,99,No,9,4,99
2638,1,78,No,4,6,52
2639,8,65,Yes,4,2,58
2640,5,65,Yes,5,7,50
2641,3,40,No,6,1,18
2642,7,71,Yes,4,7,62
2643,7,96,Yes,6,1,87
2644,9,54,Yes,7,6,53
2645,7,91,Yes,9,1,87
2646,3,60,No,5,6,37
2647,1,57,No,8,0,31
2648,8,69,Yes,4,5,63
2649,3,99,No,9,9,81
2650,8,97,No,9,6,95
2651,8,52,Yes,6,3,45
2652,5,63,Yes,4,0,48
2653,1,69,No,9,5,47
2654,7,41,No,5,3,31
2655,5,58,No,8,2,43
2656,8,86,Yes,7,3,82
2657,9,83,No,7,5,80
2658,7,86,No,6,4,76
2659,7,64,Yes,9,1,57
2660,1,89,No,7,1,64
2661,4,53,Yes,6,2,35
2662,2,45,Yes,8,5,24
2663,2,51,No,4,0,30
2664,2,59,Yes,5,6,38
2665,4,62,Yes,8,7,45
2666,1,69,No,8,6,44
2667,4,69,Yes,7,2,53
2668,2,77,No,7,5,53
2669,5,97,Yes,5,3,84
2670,3,69,Yes,4,4,47
2671,8,80,No,8,2,76
2672,4,69,No,9,4,57
2673,1,96,No,7,5,71
2674,1,97,Yes,8,7,74
2675,3,75,No,4,5,54
2676,9,88,Yes,6,8,84
2677,7,73,No,4,9,62
2678,2,55,Yes,8,9,35
2679,9,63,No,8,9,62
2680,2,53,Yes,5,9,30
2681,3,65,No,8,3,47
2682,2,47,Yes,7,1,25
2683,3,53,Yes,9,8,40
2684,6,70,Yes,5,2,56
2685,9,41,Yes,8,6,38
2686,9,87,No,4,3,86
2687,7,43,Yes,8,0,38
2688,3,40,No,4,7,17
2689,4,94,Yes,4,3,75
2690,6,59,No,8,5,48
2691,5,98,Yes,4,6,87
2692,2,53,Yes,9,7,32
2693,6,79,No,6,9,68
2694,3,64,No,5,1,42
2695,8,99,Yes,8,8,96
2696,2,64,No,6,9,42
2697,1,42,No,4,2,18
2698,9,44,No,4,0,41
2699,3,77,Yes,5,1,54
2700,1,93,No,6,7,67
2701,7,65,Yes,6,9,57
2702,5,79,No,8,5,65
2703,5,77,No,4,0,62
2704,1,77,Yes,7,8,56
2705,9,43,No,8,6,39
2706,7,46,No,8,9,38
2707,8,69,No,8,2,65
2708,9,69,No,5,6,68
2709,6,95,No,5,5,82
2710,5,58,No,8,2,44
2711,6,78,No,9,7,67
2712,2,74,Yes,7,0,53
2713,4,79,Yes,6,4,61
2714,3,72,Yes,6,7,53
2715,7,72,Yes,4,2,61
2716,9,53,Yes,6,9,49
2717,5,77,No,6,5,61
2718,6,49,Yes,7,9,38
2719,2,96,Yes,6,1,76
2720,3,67,No,7,8,47
2721,3,53,Yes,5,1,32
2722,9,75,No,7,4,71
2723,7,77,No,5,2,69
2724,8,55,Yes,7,9,53
2725,9,99,Yes,8,8,100
2726,6,60,No,9,8,49
2727,4,67,No,5,6,48
2728,1,72,Yes,5,9,45
2729,8,45,No,6,4,40
2730,7,80,Yes,5,8,71
2731,2,54,Yes,7,6,34
2732,8,83,Yes,8,1,76
2733,5,42,Yes,8,9,29
2734,7,82,No,6,0,71
2735,4,86,No,7,9,69
2736,5,74,Yes,7,9,58
2737,8,53,Yes,4,3,43
2738,1,41,No,5,9,17
2739,1,68,No,6,7,41
2740,4,43,No,8,5,27
2741,3,65,No,9,1,45
2742,2,90,No,4,4,65
2743,3,51,Yes,7,8,31
2744,1,41,Yes,5,5,14
2745,1,56,Yes,8,5,33
2746,6,74,Yes,4,6,60
2747,5,49,No,7,4,34
2748,8,87,No,8,2,82
2749,2,61,Yes,8,2,40
2750,4,80,Yes,7,4,66
2751,8,82,No,7,3,76
2752,6,60,Yes,6,4,46
2753,1,54,Yes,8,8,31
2754,4,74,No,7,4,57
2755,1,87,No,9,3,65
2756,2,60,No,9,3,38
2757,5,60,Yes,4,0,46
2758,8,60,No,5,9,53
2759,8,99,No,9,3,97
2760,3,83,Yes,6,3,63
2761,4,71,No,7,8,55
2762,6,94,Yes,5,3,79
2763,3,44,Yes,6,6,26
2764,2,78,Yes,8,0,55
2765,6,48,Yes,5,6,37
2766,5,92,No,9,1,78
2767,5,57,Yes,6,7,45
2768,5,60,No,7,0,45
2769,5,47,No,7,9,34
2770,3,83,No,6,2,66
2771,7,91,No,8,7,79
2772,6,73,No,9,9,63
2773,4,49,Yes,6,7,32
2774,2,90,No,4,4,64
2775,9,80,Yes,6,4,78
2776,1,96,Yes,6,7,69
2777,4,63,Yes,9,9,46
2778,1,79,No,7,4,54
2779,6,63,No,8,8,51
2780,4,95,No,6,0,78
2781,5,71,No,5,4,54
2782,5,95,Yes,7,2,80
2783,9,72,No,7,2,67
2784,1,77,No,6,1,48
2785,2,83,Yes,9,2,61
2786,6,96,Yes,5,6,83
2787,5,95,Yes,6,7,82
2788,7,90,Yes,5,7,78
2789,3,98,Yes,7,7,78
2790,3,88,Yes,5,0,70
2791,2,73,Yes,6,6,48
2792,3,50,No,4,1,26
2793,1,70,No,4,9,46
2794,5,57,Yes,5,3,42
2795,5,62,Yes,9,4,46
2796,7,99,No,6,0,91
2797,4,61,Yes,8,3,47
2798,3,82,Yes,4,3,61
2799,1,57,Yes,7,8,31
2800,8,79,Yes,6,8,71
2801,3,86,Yes,6,9,66
2802,2,80,No,4,0,52
2803,4,86,Yes,8,7,71
2804,3,78,Yes,7,3,60
2805,1,59,Yes,8,3,32
2806,3,52,No,7,4,33
2807,2,84,No,4,1,56
2808,8,40,Yes,6,0,32
2809,6,91,Yes,7,4,76
2810,9,43,Yes,6,6,40
2811,8,63,Yes,5,9,60
2812,3,75,No,5,8,54
2813,5,75,No,4,1,59
2814,7,84,Yes,4,7,74
2815,5,41,Yes,9,6,29
2816,8,67,No,4,1,61
2817,5,65,No,5,4,50
2818,1,62,Yes,7,6,36
2819,5,54,Yes,8,2,41
2820,4,75,Yes,4,1,60
2821,6,66,No,8,5,56
2822,3,45,No,8,9,23
2823,5,74,No,5,5,63
2824,2,78,No,9,3,54
2825,6,77,Yes,7,0,64
2826,6,74,No,5,4,64
2827,5,75,No,4,0,58
2828,6,49,No,5,7,38
2829,7,69,Yes,5,1,60
2830,5,92,No,5,8,79
2831,1,80,No,4,8,57
2832,8,77,No,4,2,69
2833,4,68,Yes,5,5,51
2834,9,91,No,5,8,86
2835,6,98,Yes,8,6,90
2836,1,82,Yes,7,3,57
2837,3,78,No,8,2,61
2838,3,89,Yes,9,1,71
2839,4,43,No,7,9,30
2840,6,44,Yes,9,9,34
2841,7,43,Yes,7,0,34
2842,4,75,No,5,9,58
2843,6,98,No,8,0,85
2844,1,84,Yes,7,3,55
2845,8,55,Yes,9,3,51
2846,7,64,Yes,7,8,53
2847,9,53,Yes,4,9,51
2848,3,50,No,7,0,31
2849,2,68,Yes,5,3,44
2850,1,73,Yes,6,2,48
2851,3,61,No,4,8,41
2852,5,53,Yes,6,4,40
2853,2,95,No,5,8,72
2854,3,63,,6,9,41
2855,4,98,No,7,5,78
2856,7,78,Yes,6,8,70
2857,3,65,No,8,0,41
2858,9,82,No,5,3,78
2859,8,75,No,8,3,70
2860,4,78,Yes,6,9,61
2861,1,55,Yes,8,9,33
2862,1,97,Yes,4,5,71
2863,1,77,Yes,6,9,51
2864,1,98,No,9,0,72
2865,8,71,No,8,9,69
2866,3,45,No,7,4,21
2867,6,73,Yes,6,2,61
2868,3,95,No,9,0,76
2869,5,47,Yes,4,5,30
2870,7,69,Yes,7,2,59
2871,2,66,Yes,6,3,45
2872,6,46,No,7,8,39
2873,6,66,No,6,1,53
2874,3,64,Yes,6,0,43
2875,6,95,No,5,9,85
2876,5,85,Yes,8,5,70
2877,2,80,No,6,0,56
2878,9,54,Yes,4,0,52
2879,8,64,Yes,9,6,65
2880,3,61,Yes,8,1,39
2881,8,57,No,5,3,48
2882,9,51,No,8,3,47
2883,3,62,No,8,1,41
2884,3,90,No,6,5,72
2885,2,84,No,4,9,61
2886,8,78,Yes,6,1,74
2887,1,64,No,4,7,38
2888,8,49,Yes,4,3,42
2889,7,69,No,7,0,60
2890,7,49,No,6,6,35
2891,3,73,No,5,5,52
2892,1,85,Yes,9,5,61
2893,4,52,No,8,2,32
2894,9,93,Yes,7,9,95
2895,5,68,No,5,6,53
2896,1,77,Yes,9,5,54
2897,5,80,Yes,9,9,70
2898,8,84,Yes,6,9,78
2899,8,48,Yes,4,8,42
2900,5,52,No,6,2,33
2901,9,76,No,9,2,75
2902,1,53,Yes,6,3,26
2903,4,76,No,7,2,58
2904,3,48,Yes,5,3,29
2905,2,47,No,9,5,29
2906,8,78,No,7,0,70
2907,7,79,No,5,1,67
2908,9,93,Yes,7,9,93
2909,2,42,No,8,5,21
2910,4,94,Yes,4,5,74
2911,6,95,No,4,0,82
2912,3,86,Yes,4,5,65
2913,8,79,No,8,8,75
2914,3,72,Yes,9,7,55
2915,2,71,Yes,9,9,54
2916,3,46,Yes,8,4,26
2917,6,58,No,4,3,48
2918,2,73,Yes,4,5,49
2919,8,53,No,5,4,49
2920,1,89,Yes,5,5,64
2921,7,86,Yes,6,9,81
2922,2,85,Yes,7,2,64
2923,6,95,No,5,6,82
2924,2,96,No,5,7,74
2925,2,58,No,5,4,32
2926,8,90,No,5,4,83
2927,2,93,No,8,3,68
2928,7,98,No,6,9,90
2929,3,65,No,5,4,44
2930,8,56,Yes,9,9,51
2931,7,93,Yes,7,7,86
2932,8,67,No,5,4,62
2933,7,58,No,8,8,48
2934,6,66,No,9,0,56
2935,7,87,No,4,6,79
2936,5,91,No,4,4,74
2937,7,96,Yes,6,3,82
2938,1,58,No,4,2,32
2939,1,72,No,5,9,46
2940,9,90,No,8,6,88
2941,5,46,Yes,6,1,35
2942,5,68,Yes,9,4,56
2943,3,94,Yes,5,1,74
2944,5,82,Yes,4,6,67
2945,3,44,No,7,5,23
2946,9,69,Yes,5,9,67
2947,9,88,Yes,7,6,86
2948,6,82,Yes,9,8,70
2949,1,95,Yes,7,1,68
2950,7,97,Yes,9,8,91
2951,7,47,No,6,6,42
2952,4,81,Yes,8,1,62
2953,8,51,Yes,4,9,44
2954,6,81,Yes,4,1,67
2955,4,52,No,5,3,35
2956,4,65,No,4,1,46
2957,2,57,No,6,0,31
2958,2,81,No,4,5,59
2959,4,90,No,5,9,71
2960,5,91,No,4,4,74
2961,8,88,No,8,2,80
2962,6,59,No,9,0,49
2963,4,55,Yes,7,8,39
2964,7,76,Yes,7,7,67
2965,8,42,No,9,5,38
2966,2,66,Yes,7,5,47
2967,7,54,No,8,3,41
2968,2,97,Yes,6,1,75
2969,2,73,Yes,5,3,53
2970,8,84,No,8,1,81
2971,2,61,Yes,5,6,37
2972,9,79,No,6,8,77
2973,1,62,No,8,1,36
2974,9,98,Yes,4,8,95
2975,1,88,No,6,8,65
2976,2,43,Yes,7,7,18
2977,6,90,Yes,8,0,80
2978,6,93,No,6,4,81
2979,1,96,No,6,9,73
2980,7,80,No,8,3,74
2981,8,62,No,7,6,57
2982,2,86,No,9,7,64
2983,8,99,Yes,7,9,97
2984,9,48,No,6,7,42
2985,6,63,Yes,5,1,48
2986,5,60,No,9,2,46
2987,9,80,Yes,9,9,79
2988,9,85,Yes,6,9,83
2989,1,94,Yes,8,6,70
2990,3,92,Yes,8,3,73
2991,9,55,Yes,8,5,56
2992,2,95,No,7,7,71
2993,4,94,Yes,4,7,76
2994,4,64,No,8,6,49
2995,2,65,Yes,8,1,43
2996,3,88,No,9,1,67
2997,3,84,Yes,5,2,63
2998,1,48,Yes,5,3,18
2999,6,54,No,6,0,43
3000,8,78,No,6,4,72
3001,3,72,Yes,6,6,57
3002,5,40,Yes,8,9,25
3003,1,44,No,5,4,15
3004,7,95,Yes,6,6,88
3005,1,48,Yes,5,4,24
3006,9,83,No,8,9,81
3007,8,45,Yes,9,7,40
3008,7,67,Yes,8,6,60
3009,7,84,No,6,0,73
3010,5,65,Yes,8,0,52
3011,5,67,No,8,,53
3012,5,79,No,5,1,65
3013,1,54,Yes,4,8,30
3014,8,45,Yes,7,1,39
3015,1,66,No,6,8,43
3016,4,77,No,4,9,59
3017,9,43,Yes,9,1,38
3018,9,50,No,6,3,44
3019,5,60,Yes,4,2,44
3020,4,69,No,8,5,53
3021,3,57,No,6,3,37
3022,3,74,No,4,8,52
3023,5,42,Yes,7,8,30
3024,1,51,No,8,9,22
3025,5,66,No,6,8,51
3026,6,92,No,9,2,82
3027,7,69,No,9,2,63
3028,9,60,Yes,6,3,58
3029,3,77,No,4,8,58
3030,2,60,Yes,6,5,38
3031,3,99,No,8,8,80
3032,9,77,No,5,7,70
3033,7,79,Yes,9,6,72
3034,9,54,Yes,4,4,48
3035,2,57,No,7,8,36
3036,5,91,No,6,3,73
3037,4,68,No,8,3,51
3038,2,87,Yes,6,7,63
3039,9,77,No,7,3,74
3040,9,99,Yes,8,6,98
3041,6,60,No,7,3,45
3042,6,56,Yes,8,0,45
3043,8,80,Yes,5,9,74
3044,6,90,Yes,9,8,81
3045,1,57,No,8,3,30
3046,4,96,No,7,2,77
3047,7,94,Yes,4,2,86
3048,2,76,Yes,9,8,58
3049,9,99,Yes,5,7,99
3050,8,77,No,6,9,69
3051,8,51,No,5,6,47
3052,7,50,No,5,6,42
3053,4,87,Yes,6,3,73
3054,2,91,No,8,2,71
3055,3,88,No,5,3,68
3056,6,59,No,9,5,47
3057,5,48,Yes,5,3,31
3058,8,40,No,4,3,31
3059,6,97,No,9,1,86
3060,6,42,No,4,6,27
3061,1,60,No,9,5,32
3062,4,62,No,7,1,41
3063,5,48,Yes,6,4,33
3064,3,93,Yes,9,5,75
3065,9,58,Yes,9,4,57
3066,1,84,Yes,8,3,59
3067,6,94,No,8,8,87
3068,6,85,No,7,2,72
3069,5,91,Yes,8,1,78
3070,5,58,Yes,8,8,46
3071,5,62,Yes,4,7,47
3072,6,66,No,8,8,58
3073,8,66,No,8,9,63
3074,2,78,No,7,2,56
3075,6,75,Yes,7,0,62
3076,1,51,Yes,5,0,23
3077,4,94,Yes,8,2,73
3078,3,66,No,8,3,46
3079,9,85,No,9,1,80
3080,3,73,Yes,8,7,59
3081,6,72,Yes,4,2,60
3082,1,67,No,9,3,41
3083,6,70,No,8,5,61
3084,4,71,Yes,4,9,51
3085,8,89,Yes,5,5,82
3086,9,59,No,9,1,55
3087,4,79,Yes,6,5,64
3088,6,74,Yes,8,3,61
3089,1,70,No,9,4,44
3090,4,97,Yes,7,6,81
3091,7,70,No,9,6,64
3092,1,77,Yes,7,5,53
3093,8,61,No,8,9,55
3094,6,84,Yes,4,5,72
3095,5,80,Yes,7,5,65
3096,9,48,Yes,9,3,44
3097,2,91,No,9,2,70
3098,5,48,Yes,7,0,34
3099,6,54,Yes,5,2,41
3100,7,52,No,5,2,43
3101,5,61,Yes,5,8,48
3102,9,55,No,7,2,46
3103,1,71,No,7,7,47
3104,7,41,No,9,7,37
3105,7,65,Yes,8,2,56
3106,4,53,No,8,9,40
3107,9,98,Yes,4,9,96
3108,5,77,No,7,5,63
3109,4,73,Yes,8,7,58
3110,7,47,No,8,7,36
3111,4,75,No,5,9,61
3112,3,60,Yes,5,9,39
3113,9,95,No,5,8,90
3114,8,85,Yes,6,8,79
3115,1,82,No,8,7,58
3116,7,95,Yes,5,6,89
3117,9,67,No,5,9,64
3118,8,85,No,7,2,78
3119,8,83,Yes,9,6,79
3120,6,87,No,5,3,72
3121,4,45,Yes,7,1,26
3122,8,59,Yes,4,7,52
3123,3,70,No,5,1,49
3124,9,72,No,9,0,66
3125,2,83,No,7,4,59
3126,2,46,Yes,9,9,28
3127,7,47,Yes,5,8,39
3128,4,48,No,4,4,31
3129,8,41,Yes,5,1,33
3130,9,56,No,7,9,57
3131,7,91,No,4,3,83
3132,5,84,No,4,7,69
3133,8,76,Yes,4,6,71
3134,4,81,Yes,6,4,62
3135,2,83,No,7,3,58
3136,6,56,Yes,6,4,46
3137,9,92,No,9,6,93
3138,1,77,No,4,4,48
3139,7,74,Yes,6,7,68
3140,9,99,No,5,6,97
3141,9,86,No,6,6,82
3142,3,78,No,8,8,57
3143,5,69,No,9,7,55
3144,8,45,No,4,7,37
3145,8,43,Yes,4,5,35
3146,4,90,Yes,9,6,72
3147,1,76,No,9,7,51
3148,1,74,Yes,7,4,50
3149,4,97,No,5,9,82
3150,6,96,No,9,1,84
3151,8,48,No,9,6,46
3152,6,45,No,7,9,34
3153,9,52,Yes,9,2,55
3154,9,98,Yes,6,9,95
3155,2,61,No,8,7,40
3156,1,67,Yes,8,5,42
3157,2,69,No,8,3,45
3158,5,91,Yes,9,1,80
3159,4,75,No,8,6,60
3160,4,41,No,5,0,21
3161,9,97,No,6,6,95
3162,8,75,Yes,8,9,72
3163,6,47,Yes,4,9,35
3164,1,84,No,9,6,58
3165,2,81,Yes,6,9,59
3166,6,89,Yes,5,2,77
3167,2,48,Yes,8,3,23
3168,5,40,Yes,5,3,26
3169,5,52,Yes,9,3,39
3170,6,89,Yes,8,8,79
3171,6,54,Yes,4,5,39
3172,6,71,Yes,6,9,61
3173,2,73,Yes,4,8,47
3174,3,82,Yes,8,3,63
3175,6,70,Yes,7,6,61
3176,8,53,Yes,6,9,51
3177,1,93,Yes,5,8,68
3178,1,86,No,8,9,66
3179,2,53,No,4,2,29
3180,6,87,Yes,9,2,78
3181,9,94,Yes,7,5,94
3182,4,68,Yes,9,7,56
3183,3,86,No,8,0,68
3184,8,58,No,5,3,50
3185,9,66,Yes,4,7,62
3186,5,48,Yes,6,5,31
3187,9,76,Yes,7,1,73
3188,2,76,Yes,8,7,57
3189,3,82,Yes,8,0,60
3190,7,67,No,8,0,56
3191,7,91,Yes,8,6,88
3192,6,96,No,4,9,84
3193,6,63,Yes,6,2,48
3194,2,67,Yes,5,7,41
3195,6,75,No,7,8,65
3196,4,91,No,8,7,74
3197,3,57,Yes,9,0,38
3198,2,64,No,8,0,40
3199,1,74,Yes,6,5,49
3200,5,43,No,6,0,30
3201,2,53,No,4,7,29
3202,2,78,Yes,4,5,57
3203,7,65,Yes,9,4,58
3204,8,47,No,9,5,40
3205,8,63,Yes,4,3,60
3206,4,55,No,7,0,41
3207,1,59,No,9,6,34
3208,7,54,Yes,4,9,46
3209,1,46,No,8,8,24
3210,4,97,Yes,4,3,79
3211,8,56,Yes,7,3,52
3212,2,61,No,4,8,36
3213,6,61,Yes,4,3,52
3214,6,93,No,8,9,84
3215,9,51,No,9,3,50
3216,5,57,Yes,8,7,47
3217,4,95,Yes,8,3,81
3218,5,85,No,4,8,70
3219,5,86,Yes,8,7,77
3220,8,54,No,6,4,49
3221,8,76,No,5,8,70
3222,2,55,No,5,7,28
3223,7,44,No,8,9,36
3224,8,41,No,9,3,34
3225,6,91,Yes,7,3,80
3226,5,67,No,8,0,51
3227,9,96,No,9,3,95
3228,3,80,No,8,7,60
3229,4,93,No,4,4,78
3230,9,66,No,9,5,65
3231,6,70,No,7,3,57
3232,8,80,Yes,8,4,75
3233,7,75,Yes,6,9,69
3234,2,86,No,9,7,62
3235,3,82,No,5,8,63
3236,1,40,No,9,2,11
3237,9,89,Yes,6,9,91
3238,7,68,No,6,3,58
3239,1,40,No,6,0,15
3240,3,47,No,7,4,24
3241,4,96,No,7,3,80
3242,4,55,No,9,5,36
3243,5,97,No,7,5,83
3244,3,67,Yes,5,9,49
3245,3,61,No,4,5,41
3246,1,57,No,9,2,33
3247,7,61,No,8,6,52
3248,1,80,No,8,2,52
3249,2,51,No,9,5,31
3250,4,58,No,4,9,38
3251,4,64,No,8,0,45
3252,5,89,No,9,7,79
3253,2,98,No,9,6,78
3254,4,44,Yes,6,8,24
3255,1,98,Yes,5,2,72
3256,2,73,Yes,8,7,52
3257,1,78,No,5,1,50
3258,4,98,Yes,9,8,83
3259,4,49,Yes,4,0,32
3260,7,86,Yes,9,9,84
3261,9,96,Yes,8,6,95
3262,9,46,No,5,9,43
3263,5,99,Yes,6,0,82
3264,1,76,Yes,6,5,54
3265,1,86,No,9,0,59
3266,6,91,Yes,4,3,78
3267,2,99,No,7,6,79
3268,8,91,Yes,8,1,87
3269,9,54,Yes,9,2,53
3270,4,81,Yes,6,3,65
3271,5,63,No,6,5,48
3272,8,65,Yes,4,8,61
3273,3,65,Yes,6,3,41
3274,5,85,No,8,5,75
3275,3,65,Yes,4,6,44
3276,3,97,Yes,5,3,79
3277,3,49,Yes,4,5,29
3278,7,56,Yes,8,2,44
3279,7,92,Yes,8,4,85
3280,7,53,No,5,9,40
3281,8,41,No,9,3,36
3282,5,87,No,4,6,72
3283,5,52,Yes,8,5,36
3284,4,66,Yes,8,6,51
3285,7,48,Yes,5,5,38
3286,4,46,Yes,7,1,28
3287,2,87,Yes,4,6,59
3288,4,49,No,8,7,30
3289,8,95,No,6,6,88
3290,9,93,No,5,3,87
3291,3,48,Yes,7,3,27
3292,7,61,No,7,4,51
3293,9,62,No,5,8,59
3294,4,46,No,7,4,23
3295,3,87,No,8,1,71
3296,5,48,Yes,7,4,33
3297,1,66,Yes,4,2,38
3298,3,63,No,6,9,45
3299,8,68,No,8,7,67
3300,8,56,No,5,9,49
3301,4,59,No,6,9,44
3302,2,46,No,9,1,22
3303,8,82,No,8,3,79
3304,8,79,No,6,4,74
3305,4,46,No,7,3,26
3306,3,67,No,9,4,49
3307,2,58,Yes,5,9,33
3308,9,59,No,5,3,53
3309,1,83,Yes,4,2,53
3310,7,78,Yes,7,0,69
3311,5,79,No,4,3,65
3312,8,46,No,4,8,37
